2.03,0.54,0.69
2.09,0.30,0.39
1.99,0.56,0.15
1.93,0.81,0.43
2.01,0.56,0.41
2.03,0.54,0.69
2.09,0.31,0.39
1.99,0.57,0.15
1.93,0.81,0.42
2.01,0.56,0.41
2.02,0.54,0.67
2.10,0.30,0.39
2.00,0.57,0.15
1.92,0.81,0.42
2.01,0.56,0.41
2.01,0.53,0.67
2.10,0.30,0.39
2.01,0.57,0.15
1.92,0.81,0.43
2.01,0.55,0.41
2.01,0.53,0.68
2.11,0.30,0.39
2.01,0.57,0.15
1.91,0.81,0.42
2.01,0.55,0.41
1.87,1.09,0.67
2.08,0.94,0.37
1.86,1.14,0.13
1.65,1.29,0.42
1.86,1.12,0.40
1.87,1.08,0.67
2.08,0.94,0.37
1.86,1.14,0.12
1.65,1.28,0.42
1.86,1.11,0.40
1.88,1.10,0.66
2.08,0.95,0.36
1.84,1.13,0.12
1.64,1.28,0.41
1.86,1.12,0.39
1.87,1.08,0.66
2.09,0.97,0.36
1.85,1.14,0.12
1.63,1.26,0.41
1.86,1.11,0.39
1.87,1.07,0.66
2.09,0.96,0.36
1.85,1.15,0.12
1.64,1.26,0.41
1.86,1.11,0.39
1.81,-0.40,0.66
1.87,-0.64,0.37
1.87,-0.35,0.14
1.82,-0.11,0.42
1.84,-0.37,0.40
1.80,-0.38,0.65
1.81,-0.62,0.35
1.86,-0.33,0.12
1.86,-0.09,0.41
1.83,-0.35,0.39
1.80,-0.38,0.65
1.81,-0.62,0.35
1.86,-0.33,0.12
1.86,-0.09,0.41
1.83,-0.35,0.39
1.79,-0.38,0.65
1.82,-0.62,0.35
1.87,-0.33,0.12
1.85,-0.09,0.42
1.83,-0.35,0.39
1.79,-0.38,0.65
1.82,-0.62,0.35
1.87,-0.33,0.12
1.85,-0.09,0.42
1.83,-0.35,0.39
1.57,-0.34,0.63
1.58,-0.58,0.32
1.69,-0.29,0.10
1.68,-0.06,0.40
1.63,-0.32,0.37
1.57,-0.34,0.63
1.59,-0.58,0.32
1.69,-0.29,0.10
1.67,-0.06,0.40
1.63,-0.32,0.37
1.57,-0.34,0.63
1.59,-0.59,0.32
1.69,-0.29,0.10
1.67,-0.05,0.40
1.63,-0.32,0.37
1.57,-0.34,0.63
1.59,-0.58,0.32
1.69,-0.29,0.10
1.68,-0.04,0.39
1.63,-0.32,0.37
1.57,-0.35,0.63
1.59,-0.59,0.32
1.69,-0.29,0.10
1.68,-0.04,0.40
1.63,-0.32,0.37
